id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-22 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,-268596.0,USD,-9,49.74,Christian BEULEN
CB,S1_Cc1,2025-09-22 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,-272675.0,USD,-13,419.5,Christian BEULEN
CB,S1_CTc1,2025-09-22 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,264920.0,USD,8,66.23,Christian BEULEN
CB,S1_Sc1,2025-09-22 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,-252437.5,USD,-5,1009.75,Christian BEULEN
CB,S1_ZMc1,2025-09-22 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,-280100.0,USD,-10,280.1,Christian BEULEN
CB,S1_Wc1,2025-09-22 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,-281187.5,USD,-11,511.25,Christian BEULEN
CB,S1_ZFc1,2025-09-22 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,-765898.44,USD,-7,109.4140625,Christian BEULEN
CB,S1_FGBMc1,2025-09-22 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-694036.22,EUR,-5,138.8072448,Christian BEULEN
CB,S1_FGBLc1,2025-09-22 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,-755978.49,EUR,-5,151.19569710000002,Christian BEULEN
CB,S1_ZNc1,2025-09-22 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,-789359.38,USD,-7,112.765625,Christian BEULEN
CB,S1_ZBc1,2025-09-22 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,-698250.0,USD,-6,116.375,Christian BEULEN
CB,S1_CLc1,2025-09-22 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,249000.0,USD,4,62.25,Christian BEULEN
CB,S1_HGc1,2025-09-22 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,231800.0,USD,2,4.636,Christian BEULEN
CB,S1_NGc1,2025-09-22 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,225360.0,USD,8,2.817,Christian BEULEN
CB,S1_PLc1,2025-09-22 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,-213720.0,USD,-3,1424.8,Christian BEULEN
CB,S1_SIc1,2025-09-22 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,221125.0,USD,1,44.225,Christian BEULEN
CB,S1_ESc1,2025-09-22 17:19,S1,ESc1,ES1 Index,ES1 Index,-1012087.5,USD,-3,6747.25,Christian BEULEN
CB,S1_NQc1,2025-09-22 17:19,S1,NQc1,NQ1 Index,NQ1 Index,-999250.0,USD,-2,24981.25,Christian BEULEN
CB,S1_TFSc1,2025-09-22 17:19,S1,TFSc1,RTY1 Index,RTY1 Index,-1236850.0,USD,-10,2473.7,Christian BEULEN
CB,S1_ADc1,2025-09-22 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,990225.0,USD,15,0.66015,Christian BEULEN
CB,S1_BPc1,2025-09-22 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,-928881.25,USD,-11,1.3511,Christian BEULEN
CB,S1_UROc1,2025-09-22 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,-888337.5,USD,-6,1.18445,Christian BEULEN
CB,S1_JYc1,2025-09-22 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,938368.75,USD,11,0.0068245,Christian BEULEN
