date,symbol,signal,raw_score,price,contracts,notional_usd,weight_pct,basket,return_pct,weighted_return_pct
2025-01-02,@AD#C,-1,-0.0032621894497424364,0.6212,-20,1242400.0,2.4848,FX,-0.07244043786221209,-0.0018000000000002458
2025-01-02,@BO#C,-1,-0.021992947906255722,41.66,-14,349944.0,0.699888,AGS,1.5122419587133833,0.010583999999999923
2025-01-02,@BP#C,-1,-0.0021886033937335014,1.2366,-16,1236600.0,2.4732,FX,-0.3558143296134709,-0.008800000000000361
2025-01-02,@C#C,1,0.006518059875816107,480.75,14,336525.0,0.67305,AGS,-1.1960478419136766,-0.008050000000000002
2025-01-02,@CT#C,1,0.0026380992494523525,70.8,10,354000.0,0.7080000000000001,AGS,-1.6384180790960403,-0.011599999999999966
2025-01-02,@ES#C,1,0.0008566251490265131,6003.5,11,3301925.0,6.6038499999999996,EQUITY,0.4372449404514034,0.028875
2025-01-02,@EU#C,-1,-0.0007498784689232707,1.0347,-9,1164037.5,2.328075,FX,-0.3527592538900312,-0.008212500000000345
2025-01-02,@FV#C,-1,-0.0006205433746799827,106.4453125,-37,3938476.5625,7.876953125,RATESUS,-0.029357798165137613,-0.0023125
2025-01-02,@JY#C,-1,-0.00040172162698581815,0.006465,-15,1212187.5,2.424375,FX,-0.32482598607887575,-0.007874999999999743
2025-01-02,@KW#C,-1,-0.003920940216630697,565.25,0,0.0,0.0,AGS,2.0787262273330382,0.0
2025-01-02,@NQ#C,-1,-0.0016766188200563192,21523.75,-7,3013325.0,6.02665,EQUITY,-0.7189732272489692,-0.04333
2025-01-02,@RTY#C,-1,-0.0018372596241533756,2284.8,-29,3312960.0000000005,6.625920000000001,EQUITY,-0.13130252100840334,-0.0087
2025-01-02,@S#C,1,0.003993438556790352,1040.25,6,312075.0,0.62415,AGS,-0.8651766402307137,-0.005399999999999999
2025-01-02,@SM#C,-1,-0.012313874438405037,335.4,-10,335400.0,0.6708000000000001,AGS,1.9677996422182369,0.013199999999999934
2025-01-02,@TY#C,-1,-0.0010260662529617548,108.703125,-36,3913312.5,7.826625,RATESUS,-0.057496047146758655,-0.0045
2025-01-02,@US#C,-1,-0.0040093376301229,113.28125,-34,3851562.5,7.703125,RATESUS,-0.13793103448275862,-0.010624999999999999
2025-01-02,@W#C,-1,-0.0007227855967357755,572.75,-12,343650.0,0.6873,AGS,2.400698384984723,0.016500000000000004
2025-01-02,BD#C,-1,-0.003865189850330353,132.23,-30,3966899.9999999995,7.933799999999999,RATESEU,0.41594191938288055,0.032999999999998975
2025-01-02,BL#C,-1,-0.001391066238284111,118.74,-33,3918419.9999999995,7.836839999999999,RATESEU,0.31160518780528074,0.02441999999999936
2025-01-02,QBZ#C,-1,-0.02632749080657959,73.1,-17,1242699.9999999998,2.4853999999999994,Energy,-0.39671682626539845,-0.00986000000000021
2025-01-02,QCL#C,-1,-0.005258070304989815,71.91,-17,1222470.0,2.44494,Energy,-0.9456264775413806,-0.02312000000000023
2025-01-02,QGC#C,-1,-0.0010496975155547261,2726.6,-4,1090640.0,2.18128,METALS,0.641824983495929,0.014
2025-01-02,QHG#C,1,0.0031162903178483248,4.125,11,1134375.0,2.26875,METALS,1.0666666666666569,0.024199999999999777
2025-01-02,QNG#C,-1,-0.024681564420461655,3.241,-10,324100.00000000006,0.6482000000000001,Energy,11.47793890774452,0.07439999999999998
2025-01-02,QPL#C,-1,-0.002212135586887598,943.8,-26,1226940.0,2.45388,METALS,-2.1508794236067037,-0.05278000000000018
2025-01-02,QRB#C,-1,-0.021501615643501282,2.3356,-12,1177142.4000000001,2.3542848000000003,Energy,0.23120397328308998,0.005443199999999849
2025-01-02,QSI#C,-1,-0.0047339326702058315,30.644,-8,1225760.0,2.45152,METALS,-0.04894922333899155,-0.0012000000000000456
2025-01-03,@AD#C,-1,-0.0017240919405594468,0.62135,-20,1242700.0,2.4854000000000003,FX,-0.5311016335398859,-0.013200000000000326
2025-01-03,@BO#C,1,0.017050262540578842,40.58,14,340872.0,0.681744,AGS,1.1828486939379104,0.008064000000000068
2025-01-03,@BP#C,1,0.00024259909696411341,1.2409,16,1240900.0,2.4818,FX,0.8139253767426866,0.020199999999999992
2025-01-03,@C#C,-1,-0.010876665823161602,472.5,-15,354375.0,0.70875,AGS,-1.0582010582010581,-0.0075
2025-01-03,@CT#C,-1,-0.0016853787237778306,69.44,-10,347200.0,0.6944,AGS,-1.5264976958525378,-0.010600000000000023
2025-01-03,@ES#C,1,0.000958865275606513,6027.0,11,3314850.0,6.6297,EQUITY,1.1987721918035508,0.079475
2025-01-03,@EU#C,-1,-0.00042795721674337983,1.03765,-9,1167356.2499999998,2.3347124999999997,FX,-0.9299860261167,-0.021712499999999857
2025-01-03,@FV#C,1,0.0002145501784980297,106.5078125,37,3940789.0625,7.881578124999999,RATESUS,-0.11002714002787353,-0.008671874999999999
2025-01-03,@JY#C,1,0.0011600551661103964,0.006484,15,1215750.0,2.4314999999999998,FX,-0.2004935225169647,-0.004874999999999996
2025-01-03,@KW#C,1,0.004560822155326605,550.5,0,0.0,0.0,AGS,2.316076294277929,0.0
2025-01-03,@NQ#C,-1,-0.0011262852931395173,21671.5,-7,3034010.0,6.06802,EQUITY,-1.52504441316937,-0.09254
2025-01-03,@RTY#C,1,0.0030995465349406004,2288.7,29,3318614.9999999995,6.63723,EQUITY,1.376327172630751,0.09135
2025-01-03,@S#C,-1,-0.004795853979885578,1020.25,-7,357087.5,0.714175,AGS,-0.0490075961774075,-0.00035
