id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-29 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,-269136.0,USD,-9,49.84,Christian BEULEN
CB,S1_Cc1,2025-09-29 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,274137.5,USD,13,421.75,Christian BEULEN
CB,S1_CTc1,2025-09-29 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,-263680.0,USD,-8,65.92,Christian BEULEN
CB,S1_Sc1,2025-09-29 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,252812.5,USD,5,1011.25,Christian BEULEN
CB,S1_ZMc1,2025-09-29 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,-276200.0,USD,-10,276.2,Christian BEULEN
CB,S1_Wc1,2025-09-29 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,260625.0,USD,10,521.25,Christian BEULEN
CB,S1_ZFc1,2025-09-29 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,764148.44,USD,7,109.1640625,Christian BEULEN
CB,S1_FGBMc1,2025-09-29 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-690649.62,EUR,-5,138.129924,Christian BEULEN
CB,S1_FGBLc1,2025-09-29 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,-754027.57,EUR,-5,150.8055138,Christian BEULEN
CB,S1_ZNc1,2025-09-29 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,-787609.38,USD,-7,112.515625,Christian BEULEN
CB,S1_ZBc1,2025-09-29 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,-700875.0,USD,-6,116.8125,Christian BEULEN
CB,S1_CLc1,2025-09-29 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,-189600.0,USD,-3,63.2,Christian BEULEN
CB,S1_HGc1,2025-09-29 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,-244725.0,USD,-2,4.8945,Christian BEULEN
CB,S1_NGc1,2025-09-29 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,228900.0,USD,7,3.27,Christian BEULEN
CB,S1_PLc1,2025-09-29 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,244590.0,USD,3,1630.6,Christian BEULEN
CB,S1_SIc1,2025-09-29 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,235025.0,USD,1,47.005,Christian BEULEN
CB,S1_ESc1,2025-09-29 17:19,S1,ESc1,ES1 Index,ES1 Index,1005787.5,USD,3,6705.25,Christian BEULEN
CB,S1_NQc1,2025-09-29 17:19,S1,NQc1,NQ1 Index,NQ1 Index,993240.0,USD,2,24831.0,Christian BEULEN
CB,S1_TFSc1,2025-09-29 17:19,S1,TFSc1,RTY1 Index,RTY1 Index,1222950.0,USD,10,2445.9,Christian BEULEN
CB,S1_ADc1,2025-09-29 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,987300.0,USD,15,0.6582,Christian BEULEN
CB,S1_BPc1,2025-09-29 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,923312.5,USD,11,1.343,Christian BEULEN
CB,S1_UROc1,2025-09-29 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,883350.0,USD,6,1.1778,Christian BEULEN
CB,S1_JYc1,2025-09-29 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,932181.25,USD,11,0.0067795,Christian BEULEN
