id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-25 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,271188.0,USD,9,50.22,Christian BEULEN
CB,S1_Cc1,2025-09-25 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,275762.5,USD,13,424.25,Christian BEULEN
CB,S1_CTc1,2025-09-25 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,264560.0,USD,8,66.14,Christian BEULEN
CB,S1_Sc1,2025-09-25 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,252250.0,USD,5,1009.0,Christian BEULEN
CB,S1_ZMc1,2025-09-25 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,273400.0,USD,10,273.4,Christian BEULEN
CB,S1_Wc1,2025-09-25 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,263375.0,USD,10,526.75,Christian BEULEN
CB,S1_ZFc1,2025-09-25 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,-763382.81,USD,-7,109.0546875,Christian BEULEN
CB,S1_FGBMc1,2025-09-25 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-685599.5,EUR,-5,137.1199004,Christian BEULEN
CB,S1_FGBLc1,2025-09-25 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,-746616.87,EUR,-5,149.3233732,Christian BEULEN
CB,S1_ZNc1,2025-09-25 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,-786187.5,USD,-7,112.3125,Christian BEULEN
CB,S1_ZBc1,2025-09-25 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,-696375.0,USD,-6,116.0625,Christian BEULEN
CB,S1_CLc1,2025-09-25 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,-194700.0,USD,-3,64.9,Christian BEULEN
CB,S1_HGc1,2025-09-25 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,238050.0,USD,2,4.761,Christian BEULEN
CB,S1_NGc1,2025-09-25 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,-222250.0,USD,-7,3.175,Christian BEULEN
CB,S1_PLc1,2025-09-25 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,-230685.0,USD,-3,1537.9,Christian BEULEN
CB,S1_SIc1,2025-09-25 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,-226025.0,USD,-1,45.205,Christian BEULEN
CB,S1_ESc1,2025-09-25 17:19,S1,ESc1,ES1 Index,ES1 Index,1332300.0,USD,4,6661.5,Christian BEULEN
CB,S1_NQc1,2025-09-25 17:19,S1,NQc1,NQ1 Index,NQ1 Index,985170.0,USD,2,24629.25,Christian BEULEN
CB,S1_TFSc1,2025-09-25 17:19,S1,TFSc1,RTY1 Index,RTY1 Index,1216650.0,USD,10,2433.3,Christian BEULEN
CB,S1_ADc1,2025-09-25 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,-982125.0,USD,-15,0.65475,Christian BEULEN
CB,S1_BPc1,2025-09-25 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,-917331.25,USD,-11,1.3343,Christian BEULEN
CB,S1_UROc1,2025-09-25 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,-879000.0,USD,-6,1.172,Christian BEULEN
CB,S1_JYc1,2025-09-25 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,-925168.75,USD,-11,0.0067285,Christian BEULEN
