id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-26 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,270972.0,USD,9,50.18,Christian BEULEN
CB,S1_Cc1,2025-09-26 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,-273812.5,USD,-13,421.25,Christian BEULEN
CB,S1_CTc1,2025-09-26 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,-265240.0,USD,-8,66.31,Christian BEULEN
CB,S1_Sc1,2025-09-26 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,-253000.0,USD,-5,1012.0,Christian BEULEN
CB,S1_ZMc1,2025-09-26 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,-274200.0,USD,-10,274.2,Christian BEULEN
CB,S1_Wc1,2025-09-26 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,285587.5,USD,11,519.25,Christian BEULEN
CB,S1_ZFc1,2025-09-26 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,-763382.81,USD,-7,109.0546875,Christian BEULEN
CB,S1_FGBMc1,2025-09-26 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-688168.74,EUR,-5,137.6337474,Christian BEULEN
CB,S1_FGBLc1,2025-09-26 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,-749857.75,EUR,-5,149.9715504,Christian BEULEN
CB,S1_ZNc1,2025-09-26 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,-786078.12,USD,-7,112.296875,Christian BEULEN
CB,S1_ZBc1,2025-09-26 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,-696375.0,USD,-6,116.0625,Christian BEULEN
CB,S1_CLc1,2025-09-26 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,196560.0,USD,3,65.52,Christian BEULEN
CB,S1_HGc1,2025-09-26 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,-238650.0,USD,-2,4.773,Christian BEULEN
CB,S1_NGc1,2025-09-26 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,223090.0,USD,7,3.187,Christian BEULEN
CB,S1_PLc1,2025-09-26 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,-238185.0,USD,-3,1587.9,Christian BEULEN
CB,S1_SIc1,2025-09-26 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,-233500.0,USD,-1,46.7,Christian BEULEN
CB,S1_ESc1,2025-09-26 17:19,S1,ESc1,ES1 Index,ES1 Index,1003987.5,USD,3,6693.25,Christian BEULEN
CB,S1_NQc1,2025-09-26 17:19,S1,NQc1,NQ1 Index,NQ1 Index,987920.0,USD,2,24698.0,Christian BEULEN
CB,S1_TFSc1,2025-09-26 17:19,S1,TFSc1,RTY1 Index,RTY1 Index,1223050.0,USD,10,2446.1,Christian BEULEN
CB,S1_ADc1,2025-09-26 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,983250.0,USD,15,0.6555,Christian BEULEN
CB,S1_BPc1,2025-09-26 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,921525.0,USD,11,1.3404,Christian BEULEN
CB,S1_UROc1,2025-09-26 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,881062.5,USD,6,1.17475,Christian BEULEN
CB,S1_JYc1,2025-09-26 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,-926818.75,USD,-11,0.0067405,Christian BEULEN
