id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-23 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,269406.0,USD,9,49.89,Christian BEULEN
CB,S1_Cc1,2025-09-23 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,-276412.5,USD,-13,425.25,Christian BEULEN
CB,S1_CTc1,2025-09-23 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,266400.0,USD,8,66.6,Christian BEULEN
CB,S1_Sc1,2025-09-23 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,252937.5,USD,5,1011.75,Christian BEULEN
CB,S1_ZMc1,2025-09-23 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,-277800.0,USD,-10,277.8,Christian BEULEN
CB,S1_Wc1,2025-09-23 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,260125.0,USD,10,520.25,Christian BEULEN
CB,S1_ZFc1,2025-09-23 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,-765789.06,USD,-7,109.3984375,Christian BEULEN
CB,S1_FGBMc1,2025-09-23 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-694665.04,EUR,-5,138.93300800000003,Christian BEULEN
CB,S1_FGBLc1,2025-09-23 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,756469.45,EUR,5,151.29389,Christian BEULEN
CB,S1_ZNc1,2025-09-23 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,-789250.0,USD,-7,112.75,Christian BEULEN
CB,S1_ZBc1,2025-09-23 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,697875.0,USD,6,116.3125,Christian BEULEN
CB,S1_CLc1,2025-09-23 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,-190200.0,USD,-3,63.4,Christian BEULEN
CB,S1_HGc1,2025-09-23 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,232300.0,USD,2,4.646,Christian BEULEN
CB,S1_NGc1,2025-09-23 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,227200.0,USD,8,2.84,Christian BEULEN
CB,S1_PLc1,2025-09-23 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,225315.0,USD,3,1502.1,Christian BEULEN
CB,S1_SIc1,2025-09-23 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,222850.0,USD,1,44.57,Christian BEULEN
CB,S1_ESc1,2025-09-23 17:19,S1,ESc1,ES1 Index,ES1 Index,1009425.0,USD,3,6729.5,Christian BEULEN
CB,S1_NQc1,2025-09-23 17:19,S1,NQc1,NQ1 Index,NQ1 Index,996200.0,USD,2,24905.0,Christian BEULEN
CB,S1_TFSc1,2025-09-23 17:19,S1,TFSc1,RTY1 Index,RTY1 Index,1246550.0,USD,10,2493.1,Christian BEULEN
CB,S1_ADc1,2025-09-23 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,-991650.0,USD,-15,0.6611,Christian BEULEN
CB,S1_BPc1,2025-09-23 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,-929775.0,USD,-11,1.3524,Christian BEULEN
CB,S1_UROc1,2025-09-23 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,-889687.5,USD,-6,1.18625,Christian BEULEN
CB,S1_JYc1,2025-09-23 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,-938643.75,USD,-11,0.0068265,Christian BEULEN
