id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-30 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,-267084.0,USD,-9,49.46,Christian BEULEN
CB,S1_Cc1,2025-09-30 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,-270237.5,USD,-13,415.75,Christian BEULEN
CB,S1_CTc1,2025-09-30 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,-263560.0,USD,-8,65.89,Christian BEULEN
CB,S1_Sc1,2025-09-30 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,-250562.5,USD,-5,1002.25,Christian BEULEN
CB,S1_ZMc1,2025-09-30 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,273400.0,USD,10,273.4,Christian BEULEN
CB,S1_Wc1,2025-09-30 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,-279400.0,USD,-11,508.0,Christian BEULEN
CB,S1_ZFc1,2025-09-30 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,764914.06,USD,7,109.2734375,Christian BEULEN
CB,S1_FGBMc1,2025-09-30 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-692516.5,EUR,-5,138.503301,Christian BEULEN
CB,S1_FGBLc1,2025-09-30 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,-755996.21,EUR,-5,151.19924100000003,Christian BEULEN
CB,S1_ZNc1,2025-09-30 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,788375.0,USD,7,112.625,Christian BEULEN
CB,S1_ZBc1,2025-09-30 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,701250.0,USD,6,116.875,Christian BEULEN
CB,S1_CLc1,2025-09-30 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,187890.0,USD,3,62.63,Christian BEULEN
CB,S1_HGc1,2025-09-30 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,-242750.0,USD,-2,4.855,Christian BEULEN
CB,S1_NGc1,2025-09-30 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,-233310.0,USD,-7,3.333,Christian BEULEN
CB,S1_PLc1,2025-09-30 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,240780.0,USD,3,1605.2,Christian BEULEN
CB,S1_SIc1,2025-09-30 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,233200.0,USD,1,46.64,Christian BEULEN
CB,S1_ESc1,2025-09-30 17:19,S1,ESc1,ES1 Index,ES1 Index,1005037.5,USD,3,6700.25,Christian BEULEN
CB,S1_NQc1,2025-09-30 17:19,S1,NQc1,NQ1 Index,NQ1 Index,990490.0,USD,2,24762.25,Christian BEULEN
CB,S1_TFSc1,2025-09-30 17:19,S1,TFSc1,RTY1 Index,RTY1 Index,-1216050.0,USD,-10,2432.1,Christian BEULEN
CB,S1_ADc1,2025-09-30 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,993675.0,USD,15,0.66245,Christian BEULEN
CB,S1_BPc1,2025-09-30 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,925375.0,USD,11,1.346,Christian BEULEN
CB,S1_UROc1,2025-09-30 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,-885487.5,USD,-6,1.18065,Christian BEULEN
CB,S1_JYc1,2025-09-30 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,937956.25,USD,11,0.0068215,Christian BEULEN
