id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_ZLc1,2025-09-24 17:19,S1,ZLc1,BO1 Comdty,BO1 Comdty,-269676.0,USD,-9,49.94,Christian BEULEN
CB,S1_Cc1,2025-09-24 17:19,S1,Cc1,C 1 Comdty,C 1 Comdty,276087.5,USD,13,424.75,Christian BEULEN
CB,S1_CTc1,2025-09-24 17:19,S1,CTc1,CT1 Comdty,CT1 Comdty,-264400.0,USD,-8,66.1,Christian BEULEN
CB,S1_Sc1,2025-09-24 17:19,S1,Sc1,S 1 Comdty,S 1 Comdty,252312.5,USD,5,1009.25,Christian BEULEN
CB,S1_ZMc1,2025-09-24 17:19,S1,ZMc1,SM1 Comdty,SM1 Comdty,276500.0,USD,10,276.5,Christian BEULEN
CB,S1_Wc1,2025-09-24 17:19,S1,Wc1,W 1 Comdty,W 1 Comdty,260500.0,USD,10,521.0,Christian BEULEN
CB,S1_ZFc1,2025-09-24 17:19,S1,ZFc1,FV1 Comdty,FV1 Comdty,765242.19,USD,7,109.3203125,Christian BEULEN
CB,S1_FGBMc1,2025-09-24 17:19,S1,FGBMc1,OE1 Comdty,OE1 Comdty,-690893.12,EUR,-5,138.17862300000002,Christian BEULEN
CB,S1_FGBLc1,2025-09-24 17:19,S1,FGBLc1,RX1 Comdty,RX1 Comdty,-752468.89,EUR,-5,150.49377810000001,Christian BEULEN
CB,S1_ZNc1,2025-09-24 17:19,S1,ZNc1,TY1 Comdty,TY1 Comdty,788593.75,USD,7,112.65625,Christian BEULEN
CB,S1_ZBc1,2025-09-24 17:19,S1,ZBc1,US1 Comdty,US1 Comdty,-697875.0,USD,-6,116.3125,Christian BEULEN
CB,S1_CLc1,2025-09-24 17:19,S1,CLc1,CL1 Comdty,CL1 Comdty,195000.0,USD,3,65.0,Christian BEULEN
CB,S1_HGc1,2025-09-24 17:19,S1,HGc1,HG1 Comdty,HG1 Comdty,241600.0,USD,2,4.832,Christian BEULEN
CB,S1_NGc1,2025-09-24 17:19,S1,NGc1,NG1 Comdty,NG1 Comdty,219870.0,USD,7,3.141,Christian BEULEN
CB,S1_PLc1,2025-09-24 17:19,S1,PLc1,PL1 Comdty,PL1 Comdty,222720.0,USD,3,1484.8,Christian BEULEN
CB,S1_SIc1,2025-09-24 17:19,S1,SIc1,SI1 Comdty,SI1 Comdty,221000.0,USD,1,44.2,Christian BEULEN
CB,S1_ESc1,2025-09-24 17:19,S1,ESc1,ES1 Index,ES1 Index,1004175.0,USD,3,6694.5,Christian BEULEN
CB,S1_NQc1,2025-09-24 17:19,S1,NQc1,NQ1 Index,NQ1 Index,988630.0,USD,2,24715.75,Christian BEULEN
CB,S1_ADc1,2025-09-24 17:19,S1,ADc1,AD1 Curncy,AD1 Curncy,988575.0,USD,15,0.65905,Christian BEULEN
CB,S1_BPc1,2025-09-24 17:19,S1,BPc1,BP1 Curncy,BP1 Curncy,925100.0,USD,11,1.3456,Christian BEULEN
CB,S1_UROc1,2025-09-24 17:19,S1,UROc1,EC1 Curncy,EC1 Curncy,-884662.5,USD,-6,1.17955,Christian BEULEN
CB,S1_JYc1,2025-09-24 17:19,S1,JYc1,JY1 Curncy,JY1 Curncy,-932181.25,USD,-11,0.0067795,Christian BEULEN
